Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$57,901.35","$43,653,469,489","$1,082,649,571,520",-1.17%,2.40%,7.58%
Ethereum,ETH,"$3,095.73","$34,788,328,631","$358,242,952,018",-1.57%,6.57%,23.58%
Binance Coin,BNB,$647.75,"$4,340,123,520","$99,385,746,538",-0.69%,4.78%,20.76%
XRP,XRP,$1.56,"$6,181,898,039","$70,925,023,250",-1.84%,-0.58%,24.74%
Tether,USDT,$1.00,"$93,076,300,277","$52,060,667,483",0.01%,0.02%,0.03%
Dogecoin,DOGE,$0.3963,"$6,156,360,155","$51,300,109,232",1.45%,5.64%,45.35%
Cardano,ADA,$1.35,"$1,976,358,276","$43,075,112,125",-1.02%,1.80%,9.16%
Polkadot,DOT,$37.21,"$1,541,891,085","$34,779,471,837",-1.27%,2.79%,13.85%
Uniswap,UNI,$42.72,"$1,055,825,718","$22,357,452,256",-1.58%,2.20%,18.73%
Bitcoin Cash,BCH,"$1,003.63","$2,825,230,536","$18,793,808,253",-1.39%,2.93%,20.04%
Litecoin,LTC,$275.92,"$3,508,828,193","$18,418,498,602",-1.51%,2.70%,13.56%
Chainlink,LINK,$39.76,"$1,243,451,278","$16,661,582,136",-1.06%,1.68%,14.41%
USD Coin,USDC,$1.00,"$1,989,358,993","$14,380,951,195",0.00%,-0.01%,-0.01%
VeChain,VET,$0.2127,"$2,119,627,585","$13,676,831,771",-2.57%,1.92%,12.60%
Solana,SOL,$47.64,"$451,024,042","$12,987,305,600",-0.47%,2.69%,3.59%
Stellar,XLM,$0.5483,"$1,561,866,402","$12,596,963,689",-1.66%,4.84%,16.75%
THETA,THETA,$11.53,"$346,611,547","$11,531,730,064",-1.96%,3.58%,5.39%
Filecoin,FIL,$160.11,"$905,212,864","$11,095,119,874",-1.24%,0.44%,10.10%
Wrapped Bitcoin,WBTC,"$58,497.73","$174,812,445","$9,802,341,785",-0.29%,3.06%,8.69%
TRON,TRX,$0.1325,"$2,129,874,384","$9,493,129,040",-1.30%,4.20%,16.68%
Neo,NEO,$107.28,"$1,772,366,251","$7,567,499,700",-2.84%,4.08%,22.38%
Monero,XMR,$414.42,"$415,234,506","$7,418,549,002",-1.28%,1.47%,9.56%
Terra,LUNA,$18.05,"$645,887,542","$7,046,984,104",-1.49%,4.90%,4.71%
Binance USD,BUSD,$1.00,"$5,848,692,025","$6,976,362,149",-0.01%,-0.01%,0.02%
PancakeSwap,CAKE,$41.16,"$614,189,461","$6,662,352,542",-2.34%,0.52%,23.64%
Bitcoin SV,BSV,$343.94,"$1,452,364,490","$6,439,426,178",-2.12%,3.94%,32.85%
EOS,EOS,$6.67,"$2,258,427,663","$6,360,479,057",-1.92%,3.77%,18.73%
Aave,AAVE,$504.79,"$644,101,757","$6,303,833,025",-1.78%,3.61%,24.68%
IOTA,MIOTA,$2.12,"$135,509,868","$5,903,966,269",-0.37%,3.75%,7.32%
Klaytn,KLAY,$2.38,"$100,736,233","$5,862,222,498",-0.84%,3.26%,-0.25%
Ethereum Classic,ETC,$48.59,"$4,471,902,812","$5,652,190,012",-1.90%,9.09%,52.08%
FTX Token,FTT,$56.63,"$112,316,311","$5,343,242,991",-1.48%,3.96%,10.87%
Maker,MKR,"$5,319.02","$590,067,835","$5,293,696,148",-0.55%,9.61%,33.24%
Cosmos,ATOM,$23.08,"$396,775,667","$4,864,956,988",-1.49%,1.42%,10.91%
Huobi Token,HT,$26.47,"$1,079,270,277","$4,838,910,816",-2.56%,-2.02%,45.39%
Crypto.com Coin,CRO,$0.1906,"$79,150,654","$4,814,518,999",-0.73%,1.70%,1.67%
BitTorrent,BTT,$0.007003,"$738,357,327","$4,621,863,771",-1.49%,0.38%,1.08%
Tezos,XTZ,$5.74,"$187,995,033","$4,411,742,070",-2.06%,3.57%,12.94%
Algorand,ALGO,$1.44,"$218,770,533","$4,264,389,073",-0.85%,5.01%,18.16%
Polygon,MATIC,$0.8051,"$857,458,680","$4,177,229,448",-1.61%,1.72%,61.36%
Avalanche,AVAX,$31.52,"$290,628,993","$4,059,662,918",-4.16%,-0.27%,23.60%
Compound,COMP,$791.70,"$435,369,316","$4,018,355,341",-0.88%,-6.75%,25.15%
Dai,DAI,$1.00,"$492,939,170","$4,012,460,531",-0.07%,0.03%,0.06%
THORChain,RUNE,$15.39,"$85,735,268","$3,620,549,536",-1.13%,4.00%,12.84%
Waves,WAVES,$33.28,"$1,047,129,671","$3,494,868,002",-3.13%,37.39%,98.29%
Kusama,KSM,$413.43,"$208,334,913","$3,501,801,468",-1.66%,-1.77%,12.31%
Dash,DASH,$326.99,"$770,876,326","$3,306,759,932",-2.42%,4.91%,19.37%
Elrond,EGLD,$188.42,"$96,542,889","$3,276,849,531",-2.42%,7.50%,12.19%
Bitcoin BEP2,BTCB,"$58,040.01","$294,311,131","$3,168,869,521",-0.99%,2.62%,8.28%
NEM,XEM,$0.3469,"$166,112,196","$3,121,726,509",-2.17%,2.72%,14.28%
Chiliz,CHZ,$0.5332,"$370,680,103","$2,978,751,710",-1.25%,0.22%,16.70%
Zcash,ZEC,$247.79,"$454,354,892","$2,896,308,015",-1.39%,0.49%,11.55%
Hedera Hashgraph,HBAR,$0.3285,"$339,241,088","$2,711,085,008",-1.69%,3.86%,16.08%
